,ID,Ass1,Ass2,Ass3,Ass4,Exam,Total,Final,Grade
2,3,74.3,54.4,63.0,63.9,31,43.209999999999994,43,N
3,4,89.8,81.3,82.0,90.4,37,56.545,44,N
14,15,66.3,53.7,53.0,81.9,30,44.30500000000001,44,N
23,24,57.7,76.3,71.0,87.7,35,52.035,44,N
24,25,84.7,65.0,73.0,88.9,34,51.37,44,N
25,26,84.7,53.8,75.0,78.1,36,49.36999999999999,44,N
32,33,64.2,50.0,18.0,0.0,0,11.61,12,N
41,42,81.5,43.8,0.0,0.0,0,10.645,11,N
43,44,71.9,61.3,76.0,94.5,38,53.565,44,N
46,47,50.0,71.3,56.0,93.8,34,50.464999999999996,44,N
53,54,76.1,50.0,50.0,50.0,33,41.105000000000004,41,N
59,60,73.9,53.2,74.0,95.9,34,50.16,44,N
77,78,52.9,53.2,50.0,50.0,36,42.224999999999994,42,N
